Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
GO_Biological_Process_2023,Establishment Of Apical/Basal Cell Polarity (GO:0035089),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,FSCN1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Inner Dynein Arm Assembly (GO:0036159),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,DNAAF1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Microglial Cell Activation (GO:1903978),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Pancreas Development (GO:0031016),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,DNAAF1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Sensory Perception Of Pain (GO:0051930),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Cellular Response To Exogenous dsRNA (GO:0071360),1/14,0.031053189424305,0.079711336632468,0,0,34.86363636363637,121.04841961551216,IFIT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Cellular Response To Starvation (GO:0009267),2/126,0.0326823468834113,0.0823920748184469,0,0,7.438484621155289,25.44646227938484,IFI16;EIF2AK2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),2/127,0.0331585339465294,0.0823920748184469,0,0,7.3786046511627905,25.134885896380784,IL6;CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Hormone Secretion (GO:0046883),1/15,0.0332348399957845,0.0823920748184469,0,0,32.371753246753244,110.19851603861096,FFAR2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Monocyte Differentiation (GO:0045655),1/15,0.0332348399957845,0.0823920748184469,0,0,32.371753246753244,110.19851603861096,IRF7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Melanosome Transport (GO:0032402),1/15,0.0332348399957845,0.0823920748184469,0,0,32.371753246753244,110.19851603861096,MREG,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Phagosome Maturation (GO:0090382),1/15,0.0332348399957845,0.0823920748184469,0,0,32.371753246753244,110.19851603861096,MREG,GO_Biological_Process_2023,lps_receiver
